,expiration_timestamp,option_type,instrument_name,strike,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv
0,1616745600000,put,BTC-26MAR21-8000-P,8000.0,10735.56,BTC-26MAR21,1599951952543,"{'volume': 16.1, 'price_change': 0.5848, 'low': 0.0835, 'high': 0.086}",open,0.09,1828.9,0.0485,0.141,0.08638039,74.98,0.086,0.0,10433.61,"{'vega': 22.49273, 'theta': -4.33849, 'rho': -16.86668, 'gamma': 5e-05, 'delta': -0.20865}",10433.61,21945614126,"[[0.0835, 14.7], [0.083, 6.6], [0.0815, 5.0], [0.08, 8.0], [0.04, 0.3], [0.0295, 0.1], [0.022, 0.1], [0.0205, 0.1], [0.0145, 0.1], [0.0075, 0.6], [0.005, 0.5], [0.003, 1.0]]",73.6,0.0835,14.7,0.087,19.5,"[[0.087, 19.5], [0.0895, 23.0], [0.107, 1.0], [0.1185, 0.5], [0.127, 0.5], [0.1365, 0.1], [0.147, 0.5], [0.148, 0.1], [0.15, 1.0], [0.167, 0.5], [0.17, 1.0], [0.1865, 0.5], [0.188, 0.1], [0.288, 0.1]]",75.28
1,1600416000000,call,BTC-18SEP20-11000-C,11000.0,10443.8,SYN.BTC-18SEP20,1599951953555,"{'volume': 110.2, 'price_change': 8.3333, 'low': 0.005, 'high': 0.007}",open,0.01,574.2,0.0001,0.0285,0.00616245,48.19,0.0065,0.0,10433.64,"{'vega': 3.49668, 'theta': -15.6878, 'rho': 0.29074, 'gamma': 0.00045, 'delta': 0.19535}",10433.64,21945568803,"[[0.0055, 28.8], [0.005, 30.0], [0.0045, 54.9], [0.004, 1.7], [0.0035, 0.2], [0.003, 12.0], [0.0015, 0.1], [0.0005, 0.2]]",46.18,0.0055,28.8,0.007,59.6,"[[0.007, 59.6], [0.0075, 42.4], [0.008, 30.0], [0.009, 0.1], [0.012, 10.0], [0.03, 1.0], [0.034, 1.0]]",50.65
2,1601020800000,call,BTC-25SEP20-9750-C,9750.0,10457.1,BTC-25SEP20,1599951953554,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.08,0.0,0.0515,0.1175,0.08322519,57.56,,0.0,10433.64,"{'vega': 5.95362, 'theta': -13.85162, 'rho': 2.40669, 'gamma': 0.00028, 'delta': 0.76228}",10433.64,21945608642,"[[0.0795, 24.9]]",50.83,0.0795,24.9,0.0875,24.9,"[[0.0875, 24.9]]",64.89
3,1600416000000,call,BTC-18SEP20-11250-C,11250.0,10443.83,SYN.BTC-18SEP20,1599951954556,"{'volume': 53.5, 'price_change': 28.5714, 'low': 0.0025, 'high': 0.0045}",open,0.0,257.8,0.0001,0.021,0.00367804,51.37,0.0045,0.0,10433.66,"{'vega': 2.57292, 'theta': -12.30533, 'rho': 0.18277, 'gamma': 0.00031, 'delta': 0.12261}",10433.66,21945559699,"[[0.003, 30.0], [0.0025, 29.2], [0.002, 30.5], [0.0015, 14.0], [0.001, 1.2], [0.0005, 0.2]]",48.5,0.003,30.0,0.0045,45.0,"[[0.0045, 45.0], [0.005, 44.0], [0.0055, 15.5], [0.01, 0.1]]",54.57
4,1600070400000,call,BTC-14SEP20-11250-C,11250.0,10436.24,SYN.BTC-14SEP20,1599951954559,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,,0.0,0.0001,0.015,4.152e-05,46.84,,0.0,10433.66,"{'vega': 0.08663, 'theta': -0.43333, 'rho': 0.00181, 'gamma': 5e-05, 'delta': 0.00465}",10433.66,21939696954,[],0.0,0.0,0.0,0.0005,2.0,"[[0.0005, 2.0], [0.001, 30.0], [0.0015, 39.0], [0.002, 30.0]]",65.56
5,1599984000000,call,BTC-13SEP20-9750-C,9750.0,10434.36,SYN.BTC-13SEP20,1599951955564,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.06,0.0,0.037,0.0925,0.06558567,45.85,,0.0,10433.68,"{'vega': 3e-05, 'theta': -0.00062, 'rho': 0.09906, 'gamma': 0.0, 'delta': 1.0}",10433.68,21942621226,"[[0.0385, 4.0], [0.0005, 0.2]]",0.0,0.0385,4.0,0.0855,4.0,"[[0.0855, 4.0]]",369.18
6,1616745600000,put,BTC-26MAR21-20000-P,20000.0,10735.58,BTC-26MAR21,1599951955562,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.95,1.0,0.8415,1.0315,0.92486974,82.29,0.75,0.0,10433.68,"{'vega': 23.84083, 'theta': -5.04656, 'rho': -96.84273, 'gamma': 5e-05, 'delta': -0.76909}",10433.68,21945562571,"[[0.8715, 0.1]]",49.62,0.8715,0.1,1.006,0.1,"[[1.006, 0.1]]",114.29
7,1600416000000,call,BTC-18SEP20-13250-C,13250.0,10443.84,SYN.BTC-18SEP20,1599951955565,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,359.7,0.0001,0.0155,0.00071413,91.5,0.0005,0.0,10433.68,"{'vega': 0.57051, 'theta': -4.8595, 'rho': 0.02713, 'gamma': 4e-05, 'delta': 0.01837}",10433.68,21943071812,"[[0.0005, 0.2]]",87.1,0.0005,0.2,0.001,30.0,"[[0.001, 30.0], [0.0015, 47.0], [0.002, 30.0], [0.0025, 0.2]]",96.17
8,1601020800000,put,BTC-25SEP20-9000-P,9000.0,10457.11,BTC-25SEP20,1599951955562,"{'volume': 55.1, 'price_change': -20.0, 'low': 0.008, 'high': 0.0105}",open,0.01,2415.6,0.0001,0.0305,0.00828981,73.06,0.008,0.0,10433.68,"{'vega': 3.81555, 'theta': -11.26746, 'rho': -0.44913, 'gamma': 0.00014, 'delta': -0.11843}",10433.68,21945614447,"[[0.008, 90.6], [0.0075, 1.2], [0.007, 29.0], [0.0065, 44.0], [0.006, 30.5], [0.0045, 222.7], [0.0015, 1.0], [0.0005, 0.5]]",72.26,0.008,90.6,0.0085,29.2,"[[0.0085, 29.2], [0.009, 31.0], [0.0095, 44.0], [0.01, 0.5], [0.0105, 48.0], [0.0135, 105.0], [0.016, 30.1], [0.018, 0.1], [0.08, 5.2], [0.139, 2.1], [0.155, 0.1], [0.19, 10.0], [0.3, 0.5]]",73.64
9,1600416000000,put,BTC-18SEP20-14500-P,14500.0,10443.84,SYN.BTC-18SEP20,1599951955564,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.4,0.0,0.348,0.4325,0.38843932,91.63,,0.0,10433.68,"{'vega': 0.07618, 'theta': -0.64986, 'rho': -2.13081, 'gamma': 1e-05, 'delta': -0.99811}",10433.68,21935556092,[],0.0,0.0,0.0,0.0,0.0,[],0.0
